ip_proto,port_src,port_dst,size_pkt1,size_pkt2,size_pkt3,size_pkt4,size_pkt5,size_pkt6,size_pkt7,tot_size,Elephant
17,7001,7000,86,107,102,107,86,107,102,2653398,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,33179216,1
17,7001,7000,134,107,107,110,107,1486,1486,32809156,1
17,7001,7000,102,108,108,108,108,110,107,2585067,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,32798244,1
17,7000,7001,190,592,190,592,190,592,190,20082218,1
17,7001,7000,146,107,102,108,108,108,108,33582722,1
17,7000,7001,190,190,190,190,190,190,190,2559743,1
17,7001,7000,118,107,86,107,102,108,107,18472076,1
17,7001,7000,107,86,107,102,108,108,109,14331269,1
17,7001,7000,102,107,108,108,108,108,108,2504337,1
17,7001,7000,86,107,86,107,86,107,102,2520783,1
17,7001,7000,134,107,110,107,1486,1486,1486,33805695,1
17,7001,7000,86,107,102,108,108,108,107,2560342,1
17,7001,7000,146,107,107,1486,1486,1486,1486,33939816,1
17,7001,7000,102,108,108,109,109,107,108,12038644,1
17,7001,7000,86,107,107,107,107,107,130,30992896,1
17,7000,7001,592,190,592,190,592,190,592,20704150,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,31233703,1
17,7001,7000,70,109,116,107,130,107,130,30841354,1
17,7001,7000,86,107,102,108,107,122,107,33020342,1
17,7001,7000,86,107,102,108,108,109,109,2451679,1
17,7001,7000,86,107,102,86,107,102,108,2465061,1
17,7001,7000,109,111,108,109,111,108,109,2438119,1
17,7000,7001,108,190,190,190,70,190,190,32810511,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,30540360,1
17,7000,7001,190,217,190,1486,1486,1462,190,32690950,1
17,7001,7000,86,107,102,108,108,108,108,2408135,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,32398453,1
17,7001,7000,174,107,86,107,86,107,86,2373325,1
17,7001,7000,86,107,102,107,134,107,110,32184460,1
17,7001,7000,86,86,86,86,130,107,86,29650106,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,31996493,1
17,7000,7001,190,190,190,190,190,108,107,2409423,1
17,7000,7001,190,684,190,1486,830,190,1486,31010970,1
17,7001,7000,107,111,109,107,130,107,130,29444767,1
17,7001,7000,107,111,107,107,107,130,107,29338472,1
17,7001,7000,146,107,107,102,108,108,108,31450605,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,31764962,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,29760809,1
17,7001,7000,102,107,94,107,142,107,102,30741555,1
17,7001,7000,286,107,286,107,286,107,286,28935436,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,13441747,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,31586731,1
17,7000,7001,190,1486,830,190,1486,1486,589,31523771,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,29937830,1
17,7000,7001,108,190,1486,1486,1486,1486,1486,31515047,1
17,7001,7000,108,109,107,107,86,130,86,28882033,1
17,7000,7001,210,190,1486,1486,1486,1486,1486,23713121,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,31075155,1
17,7000,7001,94,107,86,74,107,190,1486,2376730,1
17,7001,7000,1486,107,1486,1486,1486,1486,1486,30998879,1
17,7001,7000,74,107,146,107,1486,1486,1486,30939097,1
17,7001,7000,107,108,108,108,108,108,108,28545926,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,30844487,1
17,7000,7001,190,190,190,190,190,1486,1486,30939931,1
17,7000,7001,108,190,1486,830,190,1486,1486,30639681,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,30595123,1
17,7001,7000,86,107,86,107,86,107,86,30520063,1
17,7001,7000,109,86,86,107,107,107,86,27970678,1
17,7000,7001,94,108,107,107,107,107,107,22675458,1
17,7001,7000,108,102,108,108,109,109,111,2251777,1
17,7001,7000,1486,1486,1486,1486,1486,107,90,28221294,1
17,7001,7000,86,107,107,86,107,86,107,30149905,1
17,7000,7001,190,208,190,212,190,1486,830,29909942,1
17,7001,7000,146,107,107,1486,1486,1486,1486,30112105,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,30060139,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,29965315,1
17,7000,7001,286,108,107,107,107,107,107,2212295,1
17,7001,7000,134,107,110,107,1486,1486,1486,29931036,1
17,7001,7000,118,107,86,130,107,107,107,27419906,1
17,7001,7000,86,107,86,107,86,107,130,27259668,1
17,7000,7001,86,74,107,190,190,190,262,2482929,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,29647538,1
17,7001,7000,146,107,107,1486,1486,1486,1486,29674003,1
17,7001,7000,86,107,86,86,107,138,107,29584197,1
17,7001,7000,438,108,108,107,86,146,107,29494421,1
17,7000,7001,108,107,107,107,107,107,107,2172518,1
17,7001,7000,86,107,102,108,108,108,109,2167617,1
17,7001,7000,86,107,86,107,146,107,1486,29326463,1
17,7001,7000,110,107,107,1486,1486,1486,1486,8848693,1
17,7000,7001,190,190,190,190,190,190,190,2182614,1
17,7001,7000,146,107,86,107,102,107,1486,29167753,1
17,7001,7000,146,107,86,107,102,107,1486,29143588,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,29063103,1
17,7001,7000,102,107,86,107,102,107,102,2125005,1
17,7001,7000,86,107,146,107,1486,1486,1486,28990503,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,28974011,1
17,7000,7001,1486,1486,1486,1486,1486,1310,190,28409785,1
17,7000,7001,94,178,178,178,178,1486,150,5001614,1
17,7001,7000,146,107,107,1486,1486,1486,1486,28866525,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,28891572,1
17,7001,7000,146,107,86,107,102,107,1486,28836205,1
17,7001,7000,86,107,107,86,107,86,107,28084704,1
17,7001,7000,146,107,86,107,102,107,1486,28690377,1
17,7001,7000,146,107,102,108,108,108,108,27987236,1
17,7001,7000,146,107,86,107,102,107,1486,28601603,1
17,7001,7000,146,107,107,86,107,102,107,28509616,1
17,7001,7000,86,107,107,86,107,86,107,2118198,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,28484116,1
17,7000,7001,1486,126,190,190,190,190,190,2114924,1
17,7001,7000,86,107,102,107,126,107,1486,28173960,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,28326617,1
17,7001,7000,86,146,107,107,1486,1486,1486,28350405,1
17,7000,7001,94,107,86,74,107,190,1486,2153034,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,28352208,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,28324175,1
17,7001,7000,146,107,107,1486,1486,1486,1486,28298479,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,28199290,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,26246259,1
17,7001,7000,146,107,282,108,107,86,107,28144937,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,27968672,1
17,7001,7000,146,107,107,1486,1486,1486,1486,27948558,1
17,7001,7000,86,107,86,107,86,107,86,27837095,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,27905926,1
17,7001,7000,86,107,86,107,86,107,86,27837021,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,27843629,1
17,7001,7000,134,107,110,107,1486,1486,1486,27763703,1
17,7001,7000,86,107,107,86,107,86,107,27667393,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,27601143,1
17,7001,7000,146,107,107,1486,1486,1486,1486,27592344,1
17,7001,7000,86,107,107,86,107,146,1486,27428464,1
17,7001,7000,86,107,102,107,86,107,102,2005050,1
17,7001,7000,438,108,108,107,146,107,318,27340713,1
17,7001,7000,134,107,102,107,102,107,102,26364745,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,25040863,1
17,7001,7000,146,107,107,1486,1486,1486,1486,27165959,1
17,7001,7000,146,107,107,1486,1486,1486,1486,27103471,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,27075873,1
17,7001,7000,286,107,107,286,107,286,107,27021012,1
17,7001,7000,86,146,107,107,107,1486,1486,27029340,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,27004296,1
17,7001,7000,109,109,107,86,107,86,130,24620786,1
17,7001,7000,210,107,146,107,1486,1486,1486,26886170,1
17,7001,7000,146,107,107,258,108,107,1486,26877442,1
17,7001,7000,134,107,110,107,1486,1486,1486,26362845,1
17,7000,7001,190,1486,830,190,1486,830,190,26625377,1
17,7001,7000,146,107,107,1486,1486,1486,1486,26530245,1
17,7001,7000,146,107,86,107,1486,1486,1486,26487491,1
17,7001,7000,86,107,86,107,86,107,86,1924976,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,26415058,1
17,7001,7000,146,107,86,107,1486,1486,1486,26301591,1
17,7001,7000,86,107,86,107,86,107,438,1942227,1
17,7001,7000,146,107,402,108,107,86,107,26273212,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,26239227,1
17,7000,7001,190,1486,1486,1462,190,190,190,26232949,1
17,7001,7000,86,107,86,107,86,107,146,26137744,1
17,7001,7000,86,107,86,107,86,107,86,26151974,1
17,7001,7000,86,107,146,107,1486,1486,1486,26134862,1
17,7000,7001,94,108,107,107,107,107,107,1917776,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,26124258,1
17,7001,7000,86,107,146,107,1486,1486,1486,26035808,1
17,7001,7000,86,107,86,107,86,107,86,1894035,1
17,7000,7001,190,1486,830,190,1486,830,190,25702990,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,25797963,1
17,7000,7001,190,190,1486,1486,1462,190,190,25616420,1
